renewable energy generation percentage,non-renewable energy generation percentage,date
0.14019257734537785,0.8598074226546222,2017-11-15
0.18040255754248466,0.8195974424575153,2017-11-16
0.24679858891653805,0.753201411083462,2017-11-17
0.20425649733280368,0.7957435026671963,2017-11-18
0.1516284147534007,0.8483715852465993,2017-11-19
0.1764691808240994,0.8235308191759005,2017-11-20
0.2850248316745143,0.7149751683254857,2017-11-21
0.3072751094562812,0.6927248905437188,2017-11-22
0.24814261406741572,0.7518573859325843,2017-11-23
0.3434717676588747,0.6565282323411252,2017-11-24
0.31000281618734055,0.6899971838126595,2017-11-25
0.16024720869759096,0.839752791302409,2017-11-26
0.17165967248463088,0.8283403275153691,2017-11-27
0.24545894354703127,0.7545410564529688,2017-11-28
0.26036930061765373,0.7396306993823463,2017-11-29
0.36493744176459986,0.6350625582354001,2017-11-30
0.39470602356778145,0.6052939764322185,2017-12-01
0.3311233135647132,0.6688766864352869,2017-12-02
0.209461956700436,0.790538043299564,2017-12-03
0.16284802771671095,0.8371519722832891,2017-12-04
0.18682927265550534,0.8131707273444947,2017-12-05
0.22833210899973605,0.7716678910002639,2017-12-06
0.27803077998642134,0.7219692200135787,2017-12-07
0.3243875071361457,0.6756124928638543,2017-12-08
0.48750900856291707,0.512490991437083,2017-12-09
0.40753074367390946,0.5924692563260905,2017-12-10
0.2672782951531529,0.7327217048468471,2017-12-11
0.3222116897068005,0.6777883102931995,2017-12-12
0.3782197861225859,0.6217802138774141,2017-12-13
0.37744386413641046,0.6225561358635896,2017-12-14
0.33921339552461494,0.6607866044753851,2017-12-15
0.30369390424099624,0.6963060957590037,2017-12-16
0.2880654698102801,0.71193453018972,2017-12-17
0.2868020531396964,0.7131979468603036,2017-12-18
0.25691261741430416,0.7430873825856958,2017-12-19
0.2533068507931801,0.7466931492068198,2017-12-20
0.3296296948831125,0.6703703051168874,2017-12-21
0.313423831325833,0.6865761686741669,2017-12-22
0.26810241445091165,0.7318975855490883,2017-12-23
0.36938520365536354,0.6306147963446365,2017-12-24
0.47129481105992055,0.5287051889400795,2017-12-25
0.5415657815167254,0.4584342184832746,2017-12-26
0.5204815435622197,0.47951845643778035,2017-12-27
0.4936511789742162,0.5063488210257838,2017-12-28
0.49360472888106355,0.5063952711189365,2017-12-29
0.5301067927240825,0.46989320727591755,2017-12-30
0.539470638893795,0.460529361106205,2018-01-01
0.5203172007572057,0.47968279924279433,2018-01-02
0.5476527452897432,0.45234725471025683,2018-01-03
0.49263501757514794,0.5073649824248521,2018-01-04
0.41040779266337074,0.5895922073366293,2018-01-05
0.3642869206658135,0.6357130793341865,2018-01-06
0.21800396818145396,0.781996031818546,2018-01-07
0.34725086717224735,0.6527491328277526,2018-01-08
0.4352344665236923,0.5647655334763078,2018-01-09
0.465387354486566,0.534612645513434,2018-01-10
0.33597832986141724,0.6640216701385828,2018-01-11
0.2995128556663214,0.7004871443336786,2018-01-12
0.2886037396153039,0.7113962603846962,2018-01-13
0.31692450259166305,0.683075497408337,2018-01-14
0.43997582028505927,0.5600241797149408,2018-01-15
0.38033723239156464,0.6196627676084354,2018-01-16
0.27732968035434924,0.7226703196456508,2018-01-17
0.30634316312458826,0.6936568368754117,2018-01-18
0.4655198295118829,0.534480170488117,2018-01-19
0.48483182579444506,0.5151681742055549,2018-01-20
0.38159940510426626,0.6184005948957337,2018-01-21
0.26992210355715984,0.7300778964428402,2018-01-22
0.2928710357135193,0.7071289642864806,2018-01-23
0.3378036288998452,0.6621963711001548,2018-01-24
0.5034619679984091,0.49653803200159086,2018-01-25
0.46820205878985205,0.5317979412101479,2018-01-26
0.44632808888181064,0.5536719111181894,2018-01-27
0.3011032924049858,0.6988967075950142,2018-01-28
0.2648994122529982,0.7351005877470018,2018-01-29
0.256329241417322,0.7436707585826781,2018-01-30
0.3712012096750449,0.6287987903249551,2018-01-31
0.447737173537605,0.552262826462395,2018-02-01
0.4557335139449172,0.5442664860550828,2018-02-02
0.34224960827311235,0.6577503917268877,2018-02-03
0.348088876404716,0.651911123595284,2018-02-04
0.3868584552019191,0.6131415447980809,2018-02-05
0.3769262892255978,0.6230737107744022,2018-02-06
0.3118369602225688,0.6881630397774312,2018-02-07
0.3097745513763404,0.6902254486236596,2018-02-08
0.42105566096786806,0.5789443390321319,2018-02-09
